,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,1.0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2.0,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,,2.0,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
3.0,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,,3.0,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42
4.0,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,,4.0,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56
5.0,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,,5.0,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
6.0,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,,6.0,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84
7.0,0,7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,112,119,126,133,140,147,154,161,168,175,,7.0,0,7,14,21,28,35,42,49,56,63,70,77,84,91,98
8.0,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,,8.0,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112
9.0,0,9,18,27,36,45,54,63,72,81,90,99,108,117,126,135,144,153,162,171,180,189,198,207,216,225,,9.0,0,9,18,27,36,45,54,63,72,81,90,99,108,117,126
10.0,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,,10.0,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
11.0,0,11,22,33,44,55,66,77,88,99,110,121,132,143,154,165,176,187,198,209,220,231,242,253,264,275,,11.0,0,11,22,33,44,55,66,77,88,99,110,121,132,143,154
12.0,0,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216,228,240,252,264,276,288,300,,12.0,0,12,24,36,48,60,72,84,96,108,120,132,144,156,168
13.0,0,13,26,39,52,65,78,91,104,117,130,143,156,169,182,195,208,221,234,247,260,273,286,299,312,325,,13.0,0,13,26,39,52,65,78,91,104,117,130,143,156,169,182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
0.0,0,13,26,39,52,65,78,91,104,117,130,143,156,169,182,195,208,221,234,247,260,273,286,299,312,325,,0.0,0,13,26,39,52,65,78,91,104,117,130,143,156,169,182
1.0,25,36,47,58,69,80,91,102,113,124,135,146,157,168,179,190,201,212,223,234,245,256,267,278,289,300,,1.0,25,36,47,58,69,80,91,102,113,124,135,146,157,168,179
2.0,50,59,68,77,86,95,104,113,122,131,140,149,158,167,176,185,194,203,212,221,230,239,248,257,266,275,,2.0,50,59,68,77,86,95,104,113,122,131,140,149,158,167,176
3.0,75,82,89,96,103,110,117,124,131,138,145,152,159,166,173,180,187,194,201,208,215,222,229,236,243,250,,3.0,75,82,89,96,103,110,117,124,131,138,145,152,159,166,173
4.0,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,,4.0,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170
5.0,125,128,131,134,137,140,143,146,149,152,155,158,161,164,167,170,173,176,179,182,185,188,191,194,197,200,,5.0,125,128,131,134,137,140,143,146,149,152,155,158,161,164,167
6.0,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,,6.0,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
7.0,175,174,173,172,171,170,169,168,167,166,165,164,163,162,161,160,159,158,157,156,155,154,153,152,151,150,,7.0,175,174,173,172,171,170,169,168,167,166,165,164,163,162,161
8.0,200,197,194,191,188,185,182,179,176,173,170,167,164,161,158,155,152,149,146,143,140,137,134,131,128,125,,8.0,200,197,194,191,188,185,182,179,176,173,170,167,164,161,158
9.0,225,220,215,210,205,200,195,190,185,180,175,170,165,160,155,150,145,140,135,130,125,120,115,110,105,100,,9.0,225,220,215,210,205,200,195,190,185,180,175,170,165,160,155
10.0,250,243,236,229,222,215,208,201,194,187,180,173,166,159,152,145,138,131,124,117,110,103,96,89,82,75,,10.0,250,243,236,229,222,215,208,201,194,187,180,173,166,159,152
11.0,275,266,257,248,239,230,221,212,203,194,185,176,167,158,149,140,131,122,113,104,95,86,77,68,59,50,,11.0,275,266,257,248,239,230,221,212,203,194,185,176,167,158,149
12.0,300,289,278,267,256,245,234,223,212,201,190,179,168,157,146,135,124,113,102,91,80,69,58,47,36,25,,12.0,300,289,278,267,256,245,234,223,212,201,190,179,168,157,146
13.0,325,312,299,286,273,260,247,234,221,208,195,182,169,156,143,130,117,104,91,78,65,52,39,26,13,0,,13.0,325,312,299,286,273,260,247,234,221,208,195,182,169,156,143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.8129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.23015873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
